id,name,clauseRef,text,regulationId,standardId,catalogVersion
CLA-0001,Smoke and heat detector periodic testing,17.7,Synthetic clause text summarizing 'Smoke and heat detector periodic testing' as applied to a multi-site industrial park and warehouse chain.,,STD-008,1.0
CLA-0002,Fire alarm control panel and zone integrity verification,14.4,Synthetic clause text summarizing 'Fire alarm control panel and zone integrity verification' as applied to a multi-site industrial park and warehouse chain.,,STD-008,1.0
CLA-0003,Emergency voice/alarm communication system testing,18.4.3,Synthetic clause text summarizing 'Emergency voice/alarm communication system testing' as applied to a multi-site industrial park and warehouse chain.,,STD-008,1.0
CLA-0004,Fire hydrant and internal hose reel installation testing,5.2,Synthetic clause text summarizing 'Fire hydrant and internal hose reel installation testing' as applied to a multi-site industrial park and warehouse chain.,,STD-010,1.0
CLA-0005,Sprinkler system and ESFR head visual inspection,5.3,Synthetic clause text summarizing 'Sprinkler system and ESFR head visual inspection' as applied to a multi-site industrial park and warehouse chain.,,STD-007,1.0
CLA-0006,Portable fire extinguisher inspection and maintenance,12,Synthetic clause text summarizing 'Portable fire extinguisher inspection and maintenance' as applied to a multi-site industrial park and warehouse chain.,REG-002,,1.0
CLA-0007,Fire pump assembly weekly and monthly operational test,8.1,Synthetic clause text summarizing 'Fire pump assembly weekly and monthly operational test' as applied to a multi-site industrial park and warehouse chain.,,STD-007,1.0
CLA-0008,Fire and emergency evacuation drill frequency,4.10,Synthetic clause text summarizing 'Fire and emergency evacuation drill frequency' as applied to a multi-site industrial park and warehouse chain.,REG-001,,1.0
CLA-0009,Emergency response team competency and readiness,8.4,Synthetic clause text summarizing 'Emergency response team competency and readiness' as applied to a multi-site industrial park and warehouse chain.,,STD-005,1.0
CLA-0010,Cooperation and coordination with fire and rescue authority,18,Synthetic clause text summarizing 'Cooperation and coordination with fire and rescue authority' as applied to a multi-site industrial park and warehouse chain.,REG-007,,1.0
CLA-0011,Personal protective equipment provision and compliance,8.1.2,Synthetic clause text summarizing 'Personal protective equipment provision and compliance' as applied to a multi-site industrial park and warehouse chain.,,STD-001,1.0
CLA-0012,Control of hazardous mobile plant and MHE operations,8.1.1,Synthetic clause text summarizing 'Control of hazardous mobile plant and MHE operations' as applied to a multi-site industrial park and warehouse chain.,,STD-001,1.0
CLA-0013,Permit-to-work and hot work authorization procedure,36,Synthetic clause text summarizing 'Permit-to-work and hot work authorization procedure' as applied to a multi-site industrial park and warehouse chain.,REG-003,,1.0
CLA-0014,Licensed storage of flammable and hazardous substances,9,Synthetic clause text summarizing 'Licensed storage of flammable and hazardous substances' as applied to a multi-site industrial park and warehouse chain.,REG-006,,1.0
CLA-0015,Major accident hazard prevention for battery/energy storage areas,7,Synthetic clause text summarizing 'Major accident hazard prevention for battery/energy storage areas' as applied to a multi-site industrial park and warehouse chain.,REG-010,,1.0
CLA-0016,Emergency preparedness and spill response readiness,8.2,Synthetic clause text summarizing 'Emergency preparedness and spill response readiness' as applied to a multi-site industrial park and warehouse chain.,,STD-001,1.0
CLA-0017,Segregation and storage of solid/dry waste at source,4,Synthetic clause text summarizing 'Segregation and storage of solid/dry waste at source' as applied to a multi-site industrial park and warehouse chain.,REG-005,,1.0
CLA-0018,Hazardous waste manifest and authorized disposal,6,Synthetic clause text summarizing 'Hazardous waste manifest and authorized disposal' as applied to a multi-site industrial park and warehouse chain.,REG-004,,1.0
CLA-0019,Electrical distribution and transformer preventive maintenance,8.3,Synthetic clause text summarizing 'Electrical distribution and transformer preventive maintenance' as applied to a multi-site industrial park and warehouse chain.,,STD-003,1.0
CLA-0020,HVAC and ventilation system preventive maintenance,8.4,Synthetic clause text summarizing 'HVAC and ventilation system preventive maintenance' as applied to a multi-site industrial park and warehouse chain.,,STD-003,1.0
CLA-0021,Structural safety of storage racking systems,4.6,Synthetic clause text summarizing 'Structural safety of storage racking systems' as applied to a multi-site industrial park and warehouse chain.,REG-001,,1.0
CLA-0022,Standby power (DG set) operational readiness,8.5,Synthetic clause text summarizing 'Standby power (DG set) operational readiness' as applied to a multi-site industrial park and warehouse chain.,,STD-003,1.0
CLA-0023,Trade effluent and STP discharge quality limits,14,Synthetic clause text summarizing 'Trade effluent and STP discharge quality limits' as applied to a multi-site industrial park and warehouse chain.,REG-011,,1.0
CLA-0024,Air emissions and generator stack monitoring,15,Synthetic clause text summarizing 'Air emissions and generator stack monitoring' as applied to a multi-site industrial park and warehouse chain.,REG-011,,1.0
CLA-0025,Fire risk assessment review and revalidation,9,Synthetic clause text summarizing 'Fire risk assessment review and revalidation' as applied to a multi-site industrial park and warehouse chain.,REG-007,,1.0
CLA-0026,Internal audit and management review of the compliance system,9.2,Synthetic clause text summarizing 'Internal audit and management review of the compliance system' as applied to a multi-site industrial park and warehouse chain.,,STD-006,1.0
CLA-0027,Incident investigation and corrective/preventive action closure,6.5,Synthetic clause text summarizing 'Incident investigation and corrective/preventive action closure' as applied to a multi-site industrial park and warehouse chain.,,STD-004,1.0
CLA-0028,Business continuity and insurer warranty clause conformance,8.3,Synthetic clause text summarizing 'Business continuity and insurer warranty clause conformance' as applied to a multi-site industrial park and warehouse chain.,,STD-005,1.0
CLA-0029,Fire NOC issue and periodic renewal,6,Synthetic clause text summarizing 'Fire NOC issue and periodic renewal' as applied to a multi-site industrial park and warehouse chain.,REG-002,,1.0
