--- WORKSHEET: 01_Business_Scenario ---

Field,Value,Value2,Value3
WINAIM Compliance Work Definition Workbook,,,
"Synthetic seed dataset for Compliance Traceability Network (CTN), Knowledge Graph, AI reasoning, and 52-week operational calendar",,,
,,,
SYNTHETIC DATA DISCLAIMER,,,
"All regulatory authorities, regulation names, clause numbers, standard citations, insurance clauses, and vendor details in this workbook are ILLUSTRATIVE AND SYNTHETIC. They are not real regulatory guidance and have not been independently verified. This dataset is a structural seed for compliance workflow, knowledge-graph, and calendar systems only, and must not be used as, or substituted for, verified regulatory research, legal advice, actual insurance policy wording, or a real compliance determination.",,,
,,,
Business Domain,Industrial Parks & Warehouse Chain (3PL / Built-to-Suit Logistics Real Estate),,
Business Scenario,"Multi-country network of Industrial Parks each hosting one or more grade-A warehouses, covering EHS, Fire & Life Safety (FIRe), Facilities Management (FM), Hazard Management, and Waste Management",,
Company,Vantage Industrial Parks & Logistics REIT,,
Network Scale,"20 Industrial Park locations (10 India, 10 UK) hosting 50 warehouses in total",,
Applicable Regulatory Authorities,"BIS, State Fire & Emergency Services Dept (India), Factories & Boilers Inspectorate (India), CPCB/SPCB, PESO, HSE (UK), Local Fire and Rescue Authority (UK), Environment Agency (UK)",,
Applicable Regulations,"National Building Code of India Part 4 (Fire & Life Safety), State Fire NOC Rules, Factories Act 1948, Hazardous Waste Rules 2016, Solid Waste Management Rules 2016, Petroleum/Pressure Vessel Rules, Regulatory Reform (Fire Safety) Order 2005, Building Regulations 2010 Approved Document B, Health and Safety at Work etc. Act 1974, COMAH Regulations 2015, Environmental Permitting Regulations 2016",,
Applicable Standards,"ISO 45001:2018, ISO 14001:2015, ISO 41001:2018, ISO 31000:2018, ISO 22301:2019, ISO 9001:2015, NFPA 25, NFPA 72, BS 9999:2017, IS 3844 / SP 7 (NBC)",,
Business Units,"EHS, Facilities Management, Compliance, Risk & Insurance, Warehouse Operations, Security",,
Organization Structure,Company -> Business Unit -> Department -> Role,,
Spatial Hierarchy,Company -> Site (Industrial Park) -> Building (Warehouse) -> Floor -> Zone -> Room -> Process -> Asset -> Equipment,,
Compliance Pillars,"EHS, Fire & Life Safety (FIRe), Facilities Management (FM), Hazard Management, Waste Management, plus Insurance Risk Mitigation as a cross-cutting pillar",,
Compliance Areas,Fire Detection & Alarm Systems; Fire Suppression Systems; Emergency Preparedness & Response; Occupational Health & Safety (EHS); Hazardous Materials & Chemical Safety; Waste Management; Facilities & Asset Maintenance (FM); Environmental Compliance; Hazard & Risk Assessment; Insurance Compliance & Risk Mitigation,,
Regulatory Scope Note,"Building/fire safety codes scoped to India (NBC Part 4, State Fire NOC, IS 3844) and UK (RRFSO 2005, Building Regs Approved Doc B, BS 9999); ISO management-system standards applied network-wide; fire suppression assets tracked with SLA/checks/SOP/vendor (AMC) linkage; emergency response and insurance risk-mitigation clauses/premium stipulations tracked as first-class compliance domains.",,
Operational Controls (count),30,,
Output Scale - Tasks,60,,
Output Scale - Controls,30,,
Output Scale - Compliance Areas,10,,
Output Scale - Business Units,6,,
Output Scale - Sites (Industrial Parks),20,,
Output Scale - Buildings (Warehouses),50,,
Output Scale - Roles,16,,
Output Scale - Vendors (AMC/Service),12,,
Output Scale - Insurance Risk Clauses,15,,
Calendar Duration,52 weeks,,
Generated On,2026-07-16,,
,,,
Data Volume Calibration (ratios applied),,,
Entity,Default Ratio to Controls,Generated Count,Notes
Obligations,~1.1 per Control,34,A control may satisfy more than one obligation; 4 obligations are general/contextual
Clauses,1.0 per Obligation,34,One primary clause per obligation
Tasks,2 per Control,60,Two frequency variants generated per control
Checklists / Templates,2 per Compliance Area,20,"One primary + one specific checklist per compliance area, reused across tasks"
Roles,"~50% of Compliance Areas x 1.6, min 8",16,Roles are shared across tasks and sites
Sites x Buildings x Assets,20 sites / 50 warehouses / 31 asset types,20 sites / 50 buildings / 31 assets,Each task resolves to >=1 concrete Site/Building/Asset pair
Vendors,Illustrative AMC/service coverage,12,One vendor entry may cover multiple sites/countries
Insurance Risk Clauses,Illustrative warranty/clause set,15,Each linked to a Risk and a Control for premium-impact traceability


--- WORKSHEET: 02_Regulatory_Authorities ---

AuthorityID,Name,Abbreviation,Jurisdiction,Type,Description
AUTH-001,Bureau of Indian Standards,BIS,India,National Standards Body,Publishes the National Building Code of India (NBC) and IS fire/safety codes referenced in building and fire design.
AUTH-002,State Fire and Emergency Services Department,State Fire Dept.,India,State Fire Authority,State-level authority issuing Fire NOC (No Objection Certificate) and enforcing state Fire Prevention and Life Safety Acts/Rules.
AUTH-003,Directorate/Chief Inspectorate of Factories and Boilers,DISH/Factories Inspectorate,India,State Regulator,State authority enforcing the Factories Act and workplace occupational safety compliance for warehousing/industrial premises.
AUTH-004,Central Pollution Control Board / State Pollution Control Board,CPCB/SPCB,India,Environmental Regulator,"National/state body regulating hazardous waste, solid waste, effluent, and emission compliance."
AUTH-005,Petroleum and Explosives Safety Organisation,PESO,India,National Regulator,"National regulator for storage and handling of petroleum products, compressed gases, and hazardous/flammable materials."
AUTH-006,Health and Safety Executive,HSE,UK,National Regulator,"UK national regulator for workplace health, safety, and major accident hazard compliance."
AUTH-007,Local Fire and Rescue Authority (Home Office oversight),FRA,UK,Fire Authority,Local Fire and Rescue Authority enforcing the Regulatory Reform (Fire Safety) Order 2005 and carrying out fire safety audits.
AUTH-008,Environment Agency,EA,UK,Environmental Regulator,"UK regulator for environmental permitting, waste management, and pollution control."


--- WORKSHEET: 03_Regulations ---

RegulationID,Name,AuthorityID,Jurisdiction,Effective Date,Description
REG-001,"National Building Code of India (NBC) 2016, Part 4 - Fire and Life Safety",AUTH-001,India,2017-01-01,"Prescribes fire and life safety design, means of escape, and fire protection system requirements for buildings including warehouses."
REG-002,State Fire Prevention and Life Safety Act / Fire NOC Rules,AUTH-002,India,2015-04-01,"Governs issuance and renewal of Fire NOC, mandatory fire fighting installations, and periodic fire safety audits for industrial premises."
REG-003,Factories Act 1948 and State Factories Rules,AUTH-003,India,1948-09-23,"Governs occupational health, safety, and welfare of workers, including machinery guarding, hazardous processes, and safety officers."
REG-004,Hazardous and Other Wastes (Management and Transboundary Movement) Rules 2016,AUTH-004,India,2016-04-04,"Regulates generation, storage, handling, and disposal of hazardous waste including used oil, batteries, and packaging waste."
REG-005,Solid Waste Management Rules 2016,AUTH-004,India,2016-04-08,"Governs segregation, collection, storage, and disposal of solid/dry waste generated at industrial and warehousing premises."
REG-006,Static and Mobile Pressure Vessels (Unfired) Rules / Petroleum Rules,AUTH-005,India,2016-08-01,"Regulates storage and handling licences for flammable gases, petroleum products, and pressure vessels used in warehouse operations."
REG-007,Regulatory Reform (Fire Safety) Order 2005 (RRFSO),AUTH-007,UK,2006-10-01,Primary UK fire safety legislation requiring a Responsible Person to carry out fire risk assessments and maintain fire precautions.
REG-008,"Building Regulations 2010, Approved Document B - Fire Safety",AUTH-006,UK,2010-10-01,"Sets means of escape, fire compartmentation, and fire protection system design standards for non-domestic buildings including warehouses."
REG-009,Health and Safety at Work etc. Act 1974,AUTH-006,UK,1974-07-31,"General duty legislation requiring employers to ensure health, safety, and welfare of employees and others affected by work activities."
REG-010,Control of Major Accident Hazards (COMAH) Regulations 2015,AUTH-006,UK,2015-06-01,"Regulates sites storing hazardous substances above threshold quantities, requiring major accident prevention policies and safety reports."
REG-011,Environmental Permitting (England and Wales) Regulations 2016,AUTH-008,UK,2016-01-01,"Governs environmental permits for waste operations, hazardous waste storage, and pollution prevention at industrial sites."


--- WORKSHEET: 04_Standards ---

StandardID,Name,Issuing Body,Version,Description
STD-001,ISO 45001:2018,ISO,2018,Occupational health and safety management systems - requirements with guidance for use.
STD-002,ISO 14001:2015,ISO,2015,Environmental management systems - requirements with guidance for use.
STD-003,ISO 41001:2018,ISO,2018,Facility management - management systems - requirements with guidance for use.
STD-004,ISO 31000:2018,ISO,2018,Risk management - guidelines for principles and generic framework.
STD-005,ISO 22301:2019,ISO,2019,Security and resilience - business continuity management systems - requirements.
STD-006,ISO 9001:2015,ISO,2015,"Quality management systems - requirements, applied to FM process control and documentation."
STD-007,NFPA 25,National Fire Protection Association,2023 Ed.,"Standard for the inspection, testing, and maintenance of water-based fire protection systems."
STD-008,NFPA 72,National Fire Protection Association,2022 Ed.,"National Fire Alarm and Signaling Code - detection, alarm, and emergency communication systems."
STD-009,BS 9999:2017,British Standards Institution,2017,"Code of practice for fire safety in the design, management and use of buildings (UK)."
STD-010,IS 3844:1989 / SP 7 (NBC),Bureau of Indian Standards,Reaffirmed,"Code of practice for fire hydrant, fire hose reel, and internal fire fighting installations (India)."


--- WORKSHEET: 05_Clauses ---

ClauseID,Source Type,Source ID,Clause Number,Title,Clause Text (Synthetic)
CLA-0001,STD,STD-008,17.7,Smoke and heat detector periodic testing,Synthetic clause text summarizing 'Smoke and heat detector periodic testing' as applied to a multi-site industrial park and warehouse chain.
CLA-0002,STD,STD-008,14.4,Fire alarm control panel and zone integrity verification,Synthetic clause text summarizing 'Fire alarm control panel and zone integrity verification' as applied to a multi-site industrial park and warehouse chain.
CLA-0003,STD,STD-008,18.4.3,Emergency voice/alarm communication system testing,Synthetic clause text summarizing 'Emergency voice/alarm communication system testing' as applied to a multi-site industrial park and warehouse chain.
CLA-0004,STD,STD-010,5.2,Fire hydrant and internal hose reel installation testing,Synthetic clause text summarizing 'Fire hydrant and internal hose reel installation testing' as applied to a multi-site industrial park and warehouse chain.
CLA-0005,STD,STD-007,5.3,Sprinkler system and ESFR head visual inspection,Synthetic clause text summarizing 'Sprinkler system and ESFR head visual inspection' as applied to a multi-site industrial park and warehouse chain.
CLA-0006,REG,REG-002,12,Portable fire extinguisher inspection and maintenance,Synthetic clause text summarizing 'Portable fire extinguisher inspection and maintenance' as applied to a multi-site industrial park and warehouse chain.
CLA-0007,STD,STD-007,8.1,Fire pump assembly weekly and monthly operational test,Synthetic clause text summarizing 'Fire pump assembly weekly and monthly operational test' as applied to a multi-site industrial park and warehouse chain.
CLA-0008,REG,REG-001,4.10,Fire and emergency evacuation drill frequency,Synthetic clause text summarizing 'Fire and emergency evacuation drill frequency' as applied to a multi-site industrial park and warehouse chain.
CLA-0009,STD,STD-005,8.4,Emergency response team competency and readiness,Synthetic clause text summarizing 'Emergency response team competency and readiness' as applied to a multi-site industrial park and warehouse chain.
CLA-0010,REG,REG-007,18,Cooperation and coordination with fire and rescue authority,Synthetic clause text summarizing 'Cooperation and coordination with fire and rescue authority' as applied to a multi-site industrial park and warehouse chain.
CLA-0011,STD,STD-001,8.1.2,Personal protective equipment provision and compliance,Synthetic clause text summarizing 'Personal protective equipment provision and compliance' as applied to a multi-site industrial park and warehouse chain.
CLA-0012,STD,STD-001,8.1.1,Control of hazardous mobile plant and MHE operations,Synthetic clause text summarizing 'Control of hazardous mobile plant and MHE operations' as applied to a multi-site industrial park and warehouse chain.
CLA-0013,REG,REG-003,36,Permit-to-work and hot work authorization procedure,Synthetic clause text summarizing 'Permit-to-work and hot work authorization procedure' as applied to a multi-site industrial park and warehouse chain.
CLA-0014,REG,REG-006,9,Licensed storage of flammable and hazardous substances,Synthetic clause text summarizing 'Licensed storage of flammable and hazardous substances' as applied to a multi-site industrial park and warehouse chain.
CLA-0015,REG,REG-010,7,Major accident hazard prevention for battery/energy storage areas,Synthetic clause text summarizing 'Major accident hazard prevention for battery/energy storage areas' as applied to a multi-site industrial park and warehouse chain.
CLA-0016,STD,STD-001,8.2,Emergency preparedness and spill response readiness,Synthetic clause text summarizing 'Emergency preparedness and spill response readiness' as applied to a multi-site industrial park and warehouse chain.
CLA-0017,REG,REG-005,4,Segregation and storage of solid/dry waste at source,Synthetic clause text summarizing 'Segregation and storage of solid/dry waste at source' as applied to a multi-site industrial park and warehouse chain.
CLA-0018,REG,REG-004,6,Hazardous waste manifest and authorized disposal,Synthetic clause text summarizing 'Hazardous waste manifest and authorized disposal' as applied to a multi-site industrial park and warehouse chain.
CLA-0019,STD,STD-003,8.3,Electrical distribution and transformer preventive maintenance,Synthetic clause text summarizing 'Electrical distribution and transformer preventive maintenance' as applied to a multi-site industrial park and warehouse chain.
CLA-0020,STD,STD-003,8.4,HVAC and ventilation system preventive maintenance,Synthetic clause text summarizing 'HVAC and ventilation system preventive maintenance' as applied to a multi-site industrial park and warehouse chain.
CLA-0021,REG,REG-001,4.6,Structural safety of storage racking systems,Synthetic clause text summarizing 'Structural safety of storage racking systems' as applied to a multi-site industrial park and warehouse chain.
CLA-0022,STD,STD-003,8.5,Standby power (DG set) operational readiness,Synthetic clause text summarizing 'Standby power (DG set) operational readiness' as applied to a multi-site industrial park and warehouse chain.
CLA-0023,REG,REG-011,14,Trade effluent and STP discharge quality limits,Synthetic clause text summarizing 'Trade effluent and STP discharge quality limits' as applied to a multi-site industrial park and warehouse chain.
CLA-0024,REG,REG-011,15,Air emissions and generator stack monitoring,Synthetic clause text summarizing 'Air emissions and generator stack monitoring' as applied to a multi-site industrial park and warehouse chain.
CLA-0025,REG,REG-007,9,Fire risk assessment review and revalidation,Synthetic clause text summarizing 'Fire risk assessment review and revalidation' as applied to a multi-site industrial park and warehouse chain.
CLA-0026,STD,STD-006,9.2,Internal audit and management review of the compliance system,Synthetic clause text summarizing 'Internal audit and management review of the compliance system' as applied to a multi-site industrial park and warehouse chain.
CLA-0027,STD,STD-004,6.5,Incident investigation and corrective/preventive action closure,Synthetic clause text summarizing 'Incident investigation and corrective/preventive action closure' as applied to a multi-site industrial park and warehouse chain.
CLA-0028,STD,STD-005,8.3,Business continuity and insurer warranty clause conformance,Synthetic clause text summarizing 'Business continuity and insurer warranty clause conformance' as applied to a multi-site industrial park and warehouse chain.
CLA-0029,REG,REG-002,6,Fire NOC issue and periodic renewal,Synthetic clause text summarizing 'Fire NOC issue and periodic renewal' as applied to a multi-site industrial park and warehouse chain.
CLA-0030,STD,STD-004,6.4.4,Risk engineering survey recommendation closure,Synthetic clause text summarizing 'Risk engineering survey recommendation closure' as applied to a multi-site industrial park and warehouse chain.
CLA-0031,STD,STD-001,4.1,Understanding the organization and its context for OH&S,Synthetic clause text summarizing 'Understanding the organization and its context for OH&S' as applied to a multi-site industrial park and warehouse chain.
CLA-0032,STD,STD-002,4.1,Understanding the organization and its context for environmental aspects,Synthetic clause text summarizing 'Understanding the organization and its context for environmental aspects' as applied to a multi-site industrial park and warehouse chain.
CLA-0033,REG,REG-009,2,General duty of employer to ensure safety of employees,Synthetic clause text summarizing 'General duty of employer to ensure safety of employees' as applied to a multi-site industrial park and warehouse chain.
CLA-0034,REG,REG-008,B1,Means of escape and fire compartmentation design conformance,Synthetic clause text summarizing 'Means of escape and fire compartmentation design conformance' as applied to a multi-site industrial park and warehouse chain.


--- WORKSHEET: 06_Obligations ---

ObligationID,ClauseID,Description,Obligation Type,Mandatory (Y/N)
OBL-0001,CLA-0001,Conduct periodic functional testing of smoke and heat detectors across all zones,Mandatory,Y
OBL-0002,CLA-0002,Verify fire alarm control panel status and zone-wise detector mapping integrity,Mandatory,Y
OBL-0003,CLA-0003,Test emergency voice/PA evacuation announcement system for audibility and coverage,Mandatory,Y
OBL-0004,CLA-0004,Conduct hydrant and hose reel pressure test and record flow/pressure readings,Mandatory,Y
OBL-0005,CLA-0005,"Visually inspect sprinkler risers, ESFR heads, and control valves for obstruction or damage",Mandatory,Y
OBL-0006,CLA-0006,Inspect and tag portable fire extinguishers; recharge or replace as required,Mandatory,Y
OBL-0007,CLA-0007,Run diesel/electric/jockey fire pump operational test and record start pressure and duration,Mandatory,Y
OBL-0008,CLA-0008,Conduct scheduled fire and emergency evacuation drills and document attendance/timing,Mandatory,Y
OBL-0009,CLA-0009,"Verify Emergency Response Team roster, training currency, and equipment readiness",Mandatory,Y
OBL-0010,CLA-0010,Coordinate periodic mutual-aid exercise with local fire and rescue authority,Recommended,N
OBL-0011,CLA-0011,"Verify PPE issuance, condition, and usage compliance across warehouse floor personnel",Mandatory,Y
OBL-0012,CLA-0012,Inspect MHE/forklift pre-use checklist compliance and operator certification currency,Mandatory,Y
OBL-0013,CLA-0013,Verify permit-to-work and hot work authorization records prior to maintenance activity,Mandatory,Y
OBL-0014,CLA-0014,"Verify hazardous/flammable material storage licence, segregation, and labelling compliance",Mandatory,Y
OBL-0015,CLA-0015,"Inspect battery charging area ventilation, spill containment, and thermal monitoring",Mandatory,Y
OBL-0016,CLA-0016,"Verify spill kit availability, staff training, and chemical spill response readiness",Mandatory,Y
OBL-0017,CLA-0017,"Verify segregation, labelling, and secure storage of general/dry waste at source",Recommended,N
OBL-0018,CLA-0018,Record and retain hazardous waste manifests and authorized disposal vendor evidence,Mandatory,Y
OBL-0019,CLA-0019,Perform preventive maintenance and thermal scanning of electrical panels and transformers,Mandatory,Y
OBL-0020,CLA-0020,Perform preventive maintenance of HVAC/ventilation systems serving occupied and storage areas,Mandatory,Y
OBL-0021,CLA-0021,"Inspect racking system structural integrity, load signage, and beam damage",Mandatory,Y
OBL-0022,CLA-0022,Test standby DG set for load-bearing readiness and automatic transfer switch function,Mandatory,Y
OBL-0023,CLA-0023,Conduct effluent/STP discharge sampling and verify limits against permit conditions,Mandatory,Y
OBL-0024,CLA-0024,Monitor DG stack emissions and record against permitted limits,Mandatory,Y
OBL-0025,CLA-0025,Review and revalidate site fire risk assessment following any material change,Mandatory,Y
OBL-0026,CLA-0026,Conduct internal audit and management review of the compliance program,Mandatory,Y
OBL-0027,CLA-0027,Investigate incidents/near-misses and verify closure of corrective and preventive actions,Mandatory,Y
