id,name,controlType,description,complianceAreaId,riskId,requirementId,clauseId,standardId,regulationId,authorityId
CTRL-001,Smoke & Heat Detector Functional Test,Detective,Operational control ensuring smoke & heat detector functional test is performed and evidenced per SOP across the industrial park / warehouse network.,CA-001,RSK-007,OBL-0001,CLA-0001,STD-008,REG-001,AUTH-002
CTRL-002,Fire Alarm Panel & Zone Verification,Preventive,Operational control ensuring fire alarm panel & zone verification is performed and evidenced per SOP across the industrial park / warehouse network.,CA-001,RSK-007,OBL-0002,CLA-0002,STD-008,REG-008,AUTH-007
CTRL-003,PA / Voice Evacuation System Test,Preventive,Operational control ensuring pa / voice evacuation system test is performed and evidenced per SOP across the industrial park / warehouse network.,CA-001,RSK-009,OBL-0003,CLA-0003,STD-008,REG-007,AUTH-007
CTRL-004,Fire Hydrant System Pressure Test,Preventive,Operational control ensuring fire hydrant system pressure test is performed and evidenced per SOP across the industrial park / warehouse network.,CA-002,RSK-013,OBL-0004,CLA-0004,STD-010,REG-002,AUTH-002
CTRL-005,Sprinkler Riser & ESFR Head Inspection,Preventive,Operational control ensuring sprinkler riser & esfr head inspection is performed and evidenced per SOP across the industrial park / warehouse network.,CA-002,RSK-002,OBL-0005,CLA-0005,STD-007,REG-001,AUTH-002
CTRL-006,Fire Extinguisher Inspection & Recharge Check,Preventive,Operational control ensuring fire extinguisher inspection & recharge check is performed and evidenced per SOP across the industrial park / warehouse network.,CA-002,RSK-001,OBL-0006,CLA-0006,STD-007,REG-002,AUTH-002
CTRL-007,Fire Pump House Operational Test,Preventive,Operational control ensuring fire pump house operational test is performed and evidenced per SOP across the industrial park / warehouse network.,CA-002,RSK-013,OBL-0007,CLA-0007,STD-007,REG-008,AUTH-007
CTRL-008,Fire & Emergency Evacuation Drill,Preventive,Operational control ensuring fire & emergency evacuation drill is performed and evidenced per SOP across the industrial park / warehouse network.,CA-003,RSK-009,OBL-0008,CLA-0008,STD-005,REG-001,AUTH-002
CTRL-009,Emergency Response Team Readiness Check,Preventive,Operational control ensuring emergency response team readiness check is performed and evidenced per SOP across the industrial park / warehouse network.,CA-003,RSK-009,OBL-0009,CLA-0009,STD-005,REG-009,AUTH-006
CTRL-010,Mock Drill - Mutual Aid & External Agency Coordination,Detective,Operational control ensuring mock drill - mutual aid & external agency coordination is performed and evidenced per SOP across the industrial park / warehouse network.,CA-003,RSK-009,OBL-0010,CLA-0010,STD-005,REG-007,AUTH-007
CTRL-011,PPE Compliance Inspection,Preventive,Operational control ensuring ppe compliance inspection is performed and evidenced per SOP across the industrial park / warehouse network.,CA-004,RSK-004,OBL-0011,CLA-0011,STD-001,REG-003,AUTH-003
CTRL-012,MHE / Forklift Safety Inspection,Preventive,Operational control ensuring mhe / forklift safety inspection is performed and evidenced per SOP across the industrial park / warehouse network.,CA-004,RSK-004,OBL-0012,CLA-0012,STD-001,REG-009,AUTH-006
CTRL-013,Permit-to-Work & Hot Work Compliance Check,Preventive,Operational control ensuring permit-to-work & hot work compliance check is performed and evidenced per SOP across the industrial park / warehouse network.,CA-004,RSK-007,OBL-0013,CLA-0013,STD-001,REG-003,AUTH-003
CTRL-014,Hazardous Chemical Storage Compliance Check,Preventive,Operational control ensuring hazardous chemical storage compliance check is performed and evidenced per SOP across the industrial park / warehouse network.,CA-005,RSK-006,OBL-0014,CLA-0014,STD-002,REG-006,AUTH-005
CTRL-015,Battery Charging Area Safety Inspection,Preventive,Operational control ensuring battery charging area safety inspection is performed and evidenced per SOP across the industrial park / warehouse network.,CA-005,RSK-005,OBL-0015,CLA-0015,STD-004,REG-010,AUTH-006
CTRL-016,Spill Kit & Chemical Spill Response Readiness Check,Detective,Operational control ensuring spill kit & chemical spill response readiness check is performed and evidenced per SOP across the industrial park / warehouse network.,CA-005,RSK-006,OBL-0016,CLA-0016,STD-001,REG-006,AUTH-005
CTRL-017,Waste Segregation & Storage Verification,Preventive,Operational control ensuring waste segregation & storage verification is performed and evidenced per SOP across the industrial park / warehouse network.,CA-006,RSK-010,OBL-0017,CLA-0017,STD-002,REG-005,AUTH-004
CTRL-018,Hazardous Waste Disposal & Manifest Verification,Detective,Operational control ensuring hazardous waste disposal & manifest verification is performed and evidenced per SOP across the industrial park / warehouse network.,CA-006,RSK-010,OBL-0018,CLA-0018,STD-002,REG-004,AUTH-004
CTRL-019,Electrical Panel & Transformer Preventive Maintenance,Preventive,Operational control ensuring electrical panel & transformer preventive maintenance is performed and evidenced per SOP across the industrial park / warehouse network.,CA-007,RSK-007,OBL-0019,CLA-0019,STD-003,REG-003,AUTH-003
CTRL-020,HVAC / Ventilation System Preventive Maintenance,Preventive,Operational control ensuring hvac / ventilation system preventive maintenance is performed and evidenced per SOP across the industrial park / warehouse network.,CA-007,RSK-015,OBL-0020,CLA-0020,STD-003,REG-009,AUTH-006
CTRL-021,Racking System Structural Safety Inspection,Preventive,Operational control ensuring racking system structural safety inspection is performed and evidenced per SOP across the industrial park / warehouse network.,CA-007,RSK-008,OBL-0021,CLA-0021,STD-001,REG-001,AUTH-001
CTRL-022,Diesel Generator (DG) Set Operational Test,Preventive,Operational control ensuring diesel generator (dg) set operational test is performed and evidenced per SOP across the industrial park / warehouse network.,CA-007,RSK-015,OBL-0022,CLA-0022,STD-003,REG-008,AUTH-006
CTRL-023,Effluent / STP Discharge Quality Testing,Detective,Operational control ensuring effluent / stp discharge quality testing is performed and evidenced per SOP across the industrial park / warehouse network.,CA-008,RSK-014,OBL-0023,CLA-0023,STD-002,REG-011,AUTH-008
CTRL-024,Air Emission & DG Stack Monitoring,Detective,Operational control ensuring air emission & dg stack monitoring is performed and evidenced per SOP across the industrial park / warehouse network.,CA-008,RSK-014,OBL-0024,CLA-0024,STD-002,REG-011,AUTH-008
CTRL-025,Fire Risk Assessment Review,Preventive,Operational control ensuring fire risk assessment review is performed and evidenced per SOP across the industrial park / warehouse network.,CA-009,RSK-001,OBL-0025,CLA-0025,STD-004,REG-007,AUTH-007
CTRL-026,Internal Audit & Management Review,Detective,Operational control ensuring internal audit & management review is performed and evidenced per SOP across the industrial park / warehouse network.,CA-009,RSK-011,OBL-0026,CLA-0026,STD-006,REG-002,AUTH-002
CTRL-027,Incident Investigation & CAPA Closure Verification,Corrective,Operational control ensuring incident investigation & capa closure verification is performed and evidenced per SOP across the industrial park / warehouse network.,CA-009,RSK-011,OBL-0027,CLA-0027,STD-004,REG-009,AUTH-006
CTRL-028,Insurance Warranty Clause Compliance Check,Preventive,Operational control ensuring insurance warranty clause compliance check is performed and evidenced per SOP across the industrial park / warehouse network.,CA-010,RSK-012,OBL-0028,CLA-0028,STD-005,REG-002,AUTH-002
CTRL-029,Fire NOC / Statutory Certificate Renewal Tracking,Preventive,Operational control ensuring fire noc / statutory certificate renewal tracking is performed and evidenced per SOP across the industrial park / warehouse network.,CA-010,RSK-011,OBL-0029,CLA-0029,STD-004,REG-002,AUTH-002
CTRL-030,Risk Engineering Survey Recommendation Closure,Corrective,Operational control ensuring risk engineering survey recommendation closure is performed and evidenced per SOP across the industrial park / warehouse network.,CA-010,RSK-012,OBL-0030,CLA-0030,STD-004,REG-010,AUTH-006
